ELEMENT_GLOBAL_ID,Scientific Name,Common Name,Taxonomic Group
147602,Astragalus humillimus,Mancos Milkvetch,Flowering Plants
130953,Astragalus hypoxylus,Huachuca Milkvetch,Flowering Plants
156188,Astragalus iodopetalus,Violet Milkvetch,Flowering Plants
132514,Astragalus iselyi,Isely's Milkvetch,Flowering Plants
146542,Astragalus jaegerianus,Lane Mountain Milkvetch,Flowering Plants
144196,Astragalus johannis-howellii,Long Valley Milkvetch,Flowering Plants
144522,Astragalus kerrii,Kerr's Milkvetch,Flowering Plants
154173,Astragalus knightii,Knight's Milkvetch,Flowering Plants
151564,Astragalus lackschewitzii,Lackschewitz's Milkvetch,Flowering Plants
143087,Astragalus lemmonii,Lemmon's Milkvetch,Flowering Plants
152329,Astragalus lentiformis,Lens-pod Milkvetch,Flowering Plants
144273,Astragalus leucolobus,Big Bear Valley Woollypod,Flowering Plants
132969,Astragalus limnocharis,Navajo Lake Milkvetch,Flowering Plants
158742,Astragalus loanus,Glenwood Milkvetch,Flowering Plants
155930,Astragalus microcymbus,Skiff Milkvetch,Flowering Plants
155316,Astragalus monoensis,Mono Milkvetch,Flowering Plants
142398,Astragalus mulfordiae,Mulford's Milkvetch,Flowering Plants
144274,Astragalus oocarpus,San Diego Milkvetch,Flowering Plants
155315,Astragalus osterhoutii,Osterhout's Milkvetch,Flowering Plants
154059,Astragalus phoenix,Ash Meadows Milkvetch,Flowering Plants
153457,Astragalus pinonis,Pinyon Milkvetch,Flowering Plants
143329,Astragalus piscator,Fisher Milkvetch,Flowering Plants
143090,Astragalus proimanthus,Precocious Milkvetch,Flowering Plants
157481,Astragalus rafaelensis,San Rafael Milkvetch,Flowering Plants
151731,Astragalus ravenii,Raven's Milkvetch,Flowering Plants
146721,Astragalus remotus,Spring Mountain Milkvetch,Flowering Plants
153458,Astragalus riparius,Piper's Milkvetch,Flowering Plants
154909,Astragalus sabulosus,Cisco Milkvetch,Flowering Plants
143808,Astragalus schmolliae,Schmoll's Milkvetch,Flowering Plants
158790,Astragalus shevockii,Shevock's Milkvetch,Flowering Plants
133554,Astragalus sinuatus,Whited's Milkvetch,Flowering Plants
154057,Astragalus sophoroides,Painted Desert Milkvetch,Flowering Plants
129820,Astragalus sparsiflorus,Front Range Milkvetch,Flowering Plants
154910,Astragalus straturensis,Silver Reef Milkvetch,Flowering Plants
133555,Astragalus toquimanus,Toquima Milkvetch,Flowering Plants
149331,Astragalus tortipes,Sleeping Ute Milkvetch,Flowering Plants
157476,Astragalus tricarinatus,Triple-rib Milkvetch,Flowering Plants
