SpeciesCode,HUCID
IsotriaMedeoloides,0507020207
IsotriaMedeoloides,0510020101
IsotriaMedeoloides,0202000701
IsotriaMedeoloides,0203010304
IsotriaMedeoloides,0203010305
IsotriaMedeoloides,0203010306
IsotriaMedeoloides,0203010307
IsotriaMedeoloides,0203010308
IsotriaMedeoloides,0203010403
IsotriaMedeoloides,0203010404
IsotriaMedeoloides,0203010501
IsotriaMedeoloides,0203010502
IsotriaMedeoloides,0203010503
IsotriaMedeoloides,0204010501
IsotriaMedeoloides,0204010502
IsotriaMedeoloides,0204010504
IsotriaMedeoloides,0204010505
IsotriaMedeoloides,0204010508
IsotriaMedeoloides,0204020101
IsotriaMedeoloides,0506000209
IsotriaMedeoloides,0506000212
IsotriaMedeoloides,0506000214
IsotriaMedeoloides,0506000215
IsotriaMedeoloides,0506000216
IsotriaMedeoloides,0509010102
IsotriaMedeoloides,0509010103
IsotriaMedeoloides,0509010302
IsotriaMedeoloides,0509010305
IsotriaMedeoloides,0509010306
IsotriaMedeoloides,0305010701
IsotriaMedeoloides,0305010703
IsotriaMedeoloides,0305010801
IsotriaMedeoloides,0305010903
IsotriaMedeoloides,0305010904
IsotriaMedeoloides,0305010905
IsotriaMedeoloides,0305010906
IsotriaMedeoloides,0305010908
IsotriaMedeoloides,0306010103
IsotriaMedeoloides,0306010105
IsotriaMedeoloides,0306010108
IsotriaMedeoloides,0513010101
IsotriaMedeoloides,0513010102
IsotriaMedeoloides,0204020601
IsotriaMedeoloides,0204030101
IsotriaMedeoloides,0204030102
IsotriaMedeoloides,0204030103
IsotriaMedeoloides,0204030108
IsotriaMedeoloides,0202000702
IsotriaMedeoloides,0203010301
IsotriaMedeoloides,0203010302
IsotriaMedeoloides,0203010309
IsotriaMedeoloides,0203010402
IsotriaMedeoloides,0204010403
IsotriaMedeoloides,0204010405
IsotriaMedeoloides,0204010407
IsotriaMedeoloides,0204010509
IsotriaMedeoloides,0204020104
IsotriaMedeoloides,0204020204
IsotriaMedeoloides,0306010205
