ELEMENT_GLOBAL_ID,cutecode,Scientific Name,Common Name,Taxonomic Group
157477,baptarac,Baptisia arachnifera,Hairy Rattleweed,Flowering Plants
133591,baptmega,Baptisia megacarpa,Apalachicola Wild Indigo,Flowering Plants
143955,barttexa,Bartonia texana,Texas Screwstem,Flowering Plants
902322,basicora,Basiphyllaea corallicola,Carter's Orchid,Flowering Plants
133568,bateviol,Batesimalva violacea,Purple Gay-mallow,Flowering Plants
134050,berbharr,Berberis harrisoniana,Kofa Barberry,Flowering Plants
146118,berbnevi,Berberis nevinii,Nevin's Barberry,Flowering Plants
139454,bergemor,Bergerocactus emoryi,Golden-spined Cereus,Flowering Plants
129165,bessoblo,Besseya oblongifolia,Eggleaf Coral-drops,Flowering Plants
137235,blenbake,Blennosperma bakeri,Baker's Blennosperma,Flowering Plants
156687,blepsubn,Blephilia subnuda,Cumberland Pagoda-plant,Flowering Plants
143414,bloohumi,Bloomeria humilis,Dwarf Goldenstar,Flowering Plants
818631,boecevad,Boechera evadens,,Flowering Plants
131731,boechoff,Boechera hoffmannii,Hoffmann's Rockcress,Flowering Plants
873998,boecneva,Boechera nevadensis,Boechera nevadensis,Flowering Plants
865004,boecserp,Boechera serpenticola,,Flowering Plants
865007,boecshev,Boechera shevockii,,Flowering Plants
770689,boecyork,Boechera yorkii,Boechera yorkii,Flowering Plants
151627,boermath,Boerhavia mathisiana,Mathi's Spiderling,Flowering Plants
161342,boltdecu,Boltonia decurrens,Decurrent False Aster,Flowering Plants
160676,bonagran,Bonamia grandiflora,Florida Lady's-nightcap,Flowering Plants
142118,bonaoval,Bonamia ovalifolia,Bigpod Lady's-nightcap,Flowering Plants
143978,bourradu,Bourreria radula,Rough Strongbark,Flowering Plants
130547,boutkayi,Bouteloua kayi,Kay's Grama,Flowering Plants
732419,brazenqu,Brazoria enquistii,Brazoria enquistii,Flowering Plants
156359,brodfili,Brodiaea filifolia,Threadleaf Brodiaea,Flowering Plants
155443,brodinsi,Brodiaea insignis,Kaweah Brodiaea,Flowering Plants
156990,brodkink,Brodiaea kinkiensis,San Clemente Island Brodiaea,Flowering Plants
865302,brodmats,Brodiaea matsonii,Brodiaea matsonii,Flowering Plants
129441,brodorcu,Brodiaea orcuttii,Orcutt's Brodiaea,Flowering Plants
128359,brodpall,Brodiaea pallida,Chinese Camp Brodiaea,Flowering Plants
158705,brodstel,Brodiaea stellaris,Star-flower Brodiaea,Flowering Plants
149218,bronminu,Brongniartia minutifolia,Littleleaf Brongniartia,Flowering Plants
145581,browelud,Browallia eludens,Elusive New Browallia Species,Flowering Plants
135529,caesbrac,Caesalpinia brachycarpa,Broadpod Rushpea,Flowering Plants
157676,caesphyl,Caesalpinia phyllanthoides,South Texas Rush-pea,Flowering Plants
129835,caesrepe,Caesalpinia repens,Creeping Rush-pea,Flowering Plants
138258,calacain,Calamagrostis cainii,Cain's Reedgrass,Flowering Plants
141282,calaperp,Calamagrostis perplexa,Wood Reedgrass,Flowering Plants
150371,calaarcu,Calamovilfa arcuata,Rivergrass,Flowering Plants
137437,callscab,Callirhoe scabriuscula,Texas Poppy-mallow,Flowering Plants
129513,calocoxi,Calochortus coxii,Cox's Mariposa Lily,Flowering Plants
144933,calodunn,Calochortus dunnii,Dunn's Mariposa Lily,Flowering Plants
134041,caloexca,Calochortus excavatus,Inyo County Mariposa Lily,Flowering Plants
129426,caloobis,Calochortus obispoensis,San Luis Mariposa Lily,Flowering Plants
154322,calopers,Calochortus persistens,Siskiyou Mariposa Lily,Flowering Plants
130497,calopulc,Calochortus pulchellus,Mt. Diablo Fairy Lantern,Flowering Plants
143740,caloraic,Calochortus raichei,The Cedars Fairylantern,Flowering Plants
152772,calosimu,Calochortus simulans,San Luis Obispo Mariposa Lily,Flowering Plants
158362,calotibu,Calochortus tiburonensis,Tiburon Mariposa Lily,Flowering Plants
138609,calomult,Calopogon multiflorus,Many-flower Grass-pink,Flowering Plants
789520,calymicr,Calycadenia micrantha,Calycadenia micrantha,Flowering Plants
151928,calycoel,Calydorea coelestina,Bartram's Ixia,Flowering Plants
144650,calysteb,Calystegia stebbinsii,Stebbins' Morning-glory,Flowering Plants
135229,camahowe,Camassia howellii,Howell Camassia,Flowering Plants
133126,camiatwo,Camissonia atwoodii,Atwood's Suncup,Flowering Plants
149636,camibair,Camissonia bairdii,Baird's Camissonia,Flowering Plants
135037,camibeni,Camissonia benitensis,San Benito Evening-primrose,Flowering Plants
817000,camibola,Camissonia bolanderi,Camissonia bolanderi,Flowering Plants
136378,camiconf,Camissonia confertiflora,Bunchflower Evening-primrose,Flowering Plants
157138,camieast,Camissonia eastwoodiae,Grand Junction Suncup,Flowering Plants
142004,camiexil,Camissonia exilis,Cottonwood Spring Suncup,Flowering Plants
134238,camigoul,Camissonia gouldii,Diamond Valley Suncup,Flowering Plants
146488,camihard,Camissonia hardhamiae,Hardham's Evening-primrose,Flowering Plants
149062,camiinte,Camissonia integrifolia,Kern River Evening-primrose,Flowering Plants
131901,camispec,Camissonia specuicola,Kaibab Suncup,Flowering Plants
140125,campexig,Campanula exigua,Chaparral Harebell,Flowering Plants
140890,campreve,Campanula reverchonii,Basin Bellflower,Flowering Plants
140306,camprobi,Campanula robinsiae,Robins' Bellflower,Flowering Plants
148367,campshar,Campanula sharsmithiae,Sharsmith's Harebell,Flowering Plants
150704,campshet,Campanula shetleri,Castle Crags Harebell,Flowering Plants
136237,campwilk,Campanula wilkinsiana,Wilkins' Harebell,Flowering Plants
145351,cardmicr,Cardamine micranthera,Small-anther Bittercress,Flowering Plants
143568,cardpatt,Cardamine pattersonii,Saddle Mountain Bittercress,Flowering Plants
139214,careabor,Carex aboriginum,Carex aboriginum,Flowering Plants
154336,carearap,Carex arapahoensis,Rocky Mountain Sedge,Flowering Plants
142874,carebrys,Carex brysonii,Bryson's Sedge,Flowering Plants
952493,carecyrt,Carex cyrtostachya,Carex cyrtostachya,Flowering Plants
130775,careimpr,Carex impressinervia,Impressed-nerved Sedge,Flowering Plants
147501,carelute,Carex lutea,Golden Sedge,Flowering Plants
739058,caremcki,Carex mckittrickensis,Guadalupe Mountain Sedge,Flowering Plants
145979,careroan,Carex roanensis,Roan Mountain Sedge,Flowering Plants
155749,caresali,Carex saliniformis,Santa Cruz Sedge,Flowering Plants
131813,carespec,Carex specuicola,Navajo Sedge,Flowering Plants
964091,careerop,Carex xerophila,Carex xerophila,Flowering Plants
145491,carpcali,Carpenteria californica,Tree Anemone,Flowering Plants
147176,castaqua,Castilleja aquariensis,Aquarius Indian-paintbrush,Flowering Plants
133402,castcham,Castilleja chambersii,Castilleja chambersii,Flowering Plants
134319,castchri,Castilleja christii,Christ's Indian-paintbrush,Flowering Plants
156795,castcine,Castilleja cinerea,Ash Grey Indian-paintbrush,Flowering Plants
151996,castcryp,Castilleja cryptantha,Obscure Indian-paintbrush,Flowering Plants
137264,castfrat,Castilleja fraterna,Fraternal Indian-paintbrush,Flowering Plants
158994,castgris,Castilleja grisea,San Clemente Island Indian-paintbrush,Flowering Plants
149082,castkaib,Castilleja kaibabensis,Kaibab Indian-paintbrush,Flowering Plants
158692,castkral,Castilleja kraliana,Castilleja kraliana,Flowering Plants
129191,castlasi,Castilleja lasiorhyncha,San Bernardino Owl's-clover,Flowering Plants
136348,castlevi,Castilleja levisecta,Golden Indian-paintbrush,Flowering Plants
136542,castmend,Castilleja mendocinensis,Mendocino Coast Indian-paintbrush,Flowering Plants
135935,castmoll,Castilleja mollis,Softleaf Indian-paintbrush,Flowering Plants
157631,castorna,Castilleja ornata,Glowing Indian-paintbrush,Flowering Plants
151648,castparv,Castilleja parvula,Tushar Indian-paintbrush,Flowering Plants
146545,castpube,Castilleja puberula,Downy Indian-paintbrush,Flowering Plants
160153,castreve,Castilleja revealii,Reveal's Indian-paintbrush,Flowering Plants
151647,castrubi,Castilleja rubida,Purple Alpine Indian-paintbrush,Flowering Plants
144326,caulbarn,Caulanthus barnebyi,Barneby's Caulanthus,Flowering Plants
133362,cauljaeg,Caulostramina jaegeri,Jaeger's Caulostramina,Flowering Plants
133578,ceanconf,Ceanothus confusus,Rincon Ridge Ceanothus,Flowering Plants
142474,ceancyan,Ceanothus cyaneus,San Diego Ceanothus,Flowering Plants
964094,ceandeco,Ceanothus decornutus,Ceanothus decornutus,Flowering Plants
131301,ceandive,Ceanothus divergens,Calistoga Ceanothus,Flowering Plants
129051,ceanferr,Ceanothus ferrisiae,Coyote Ceanothus,Flowering Plants
153113,ceanhear,Ceanothus hearstiorum,Hearst's Ceanothus,Flowering Plants
143545,ceanmari,Ceanothus maritimus,Maritime Ceanothus,Flowering Plants
154612,ceanmaso,Ceanothus masonii,Mason's Ceanothus,Flowering Plants
129759,ceanophi,Ceanothus ophiochilus,Vail Lake Ceanothus,Flowering Plants
129449,ceanpurp,Ceanothus purpureus,Napa Ceanothus,Flowering Plants
154613,ceanrode,Ceanothus roderickii,Pine Hill Ceanothus,Flowering Plants
129760,ceansono,Ceanothus sonomensis,Sonoma Ceanothus,Flowering Plants
142253,cerctras,Cercocarpus traskiae,Santa Catalina Mountain-mahogany,Flowering Plants
156285,chamasty,Chamaesyce astyla,Alkali Broomspurge,Flowering Plants
133304,chamcumu,Chamaesyce cumulicola,Sand-dune Spurge,Flowering Plants
158239,chamgarb,Chamaesyce garberi,Garber's Spurge,Flowering Plants
156286,chamgolo,Chamaesyce golondrina,Boquillas Broomspurge,Flowering Plants
137469,chamhoov,Chamaesyce hooveri,Hoover's Broomspurge,Flowering Plants
161628,chamjeju,Chamaesyce jejuna,Dwarf Broomspurge,Flowering Plants
141532,champort,Chamaesyce porteriana,Porter's Broom Spurge,Flowering Plants
156358,chenfogg,Chenopodium foggii,Fogg's Goosefoot,Flowering Plants
865014,chenlitt,Chenopodium littoreum,,Flowering Plants
156325,chiopygm,Chionanthus pygmaeus,Pygmy Fringetree,Flowering Plants
144997,chlotexe,Chloris texensis,Texas Windmill Grass,Flowering Plants
160554,chlogran,Chlorogalum grandiflorum,Red Hills Soaproot,Flowering Plants
129360,chlopurp,Chlorogalum purpureum,Purple Amole,Flowering Plants
149401,chorblak,Chorizanthe blakleyi,Blakey's Spineflower,Flowering Plants
134187,chorcusp,Chorizanthe cuspidata,San Francisco Spineflower,Flowering Plants
135457,chorhowe,Chorizanthe howellii,Howell's Chorizanthe,Flowering Plants
983157,chorminu,Chorizanthe minutiflora,Chorizanthe minutiflora,Flowering Plants
143762,chororcu,Chorizanthe orcuttiana,Orcutt's Spineflower,Flowering Plants
130962,chorrect,Chorizanthe rectispina,One-awned Chorizanthe,Flowering Plants
133736,chorvali,Chorizanthe valida,Sonoma Spineflower,Flowering Plants
161684,chryflor,Chrysopsis floridana,Florida Goldenaster,Flowering Plants
132744,chrygodf,Chrysopsis godfreyi,Godfrey's Goldenaster,Flowering Plants
797204,chryhigh,Chrysopsis highlandsensis,,Flowering Plants
144838,chryerem,Chrysothamnus eremobius,Pintwater Rabbitbrush,Flowering Plants
144570,cinnbola,Cinna bolanderi,Bolander's Woodreed,Flowering Plants
154329,cirsarid,Cirsium aridum,Cedar Rim Thistle,Flowering Plants
140268,cirsclok,Cirsium clokeyi,Clokey's Thistle,Flowering Plants
135161,cirscras,Cirsium crassicaule,Slough Thistle,Flowering Plants
157398,cirshydr,Cirsium hydrophilum,Suisun Thistle,Flowering Plants
821318,cirsjoan,Cirsium joannae,Cirsium joannae,Flowering Plants
156329,cirslonc,Cirsium loncholepis,La Graciosa Thistle,Flowering Plants
131907,cirslong,Cirsium longistylum,Long-styled Thistle,Flowering Plants
142524,cirsmoha,Cirsium mohavense,Mojave Thistle,Flowering Plants
143378,cirsmurd,Cirsium murdockii,Murdock's Thistle,Flowering Plants
142607,cirsperp,Cirsium perplexans,Rocky Mountain Thistle,Flowering Plants
130152,cirspitc,Cirsium pitcheri,Dune Thistle,Flowering Plants
149012,cirsrhot,Cirsium rhothophilum,Surf Thistle,Flowering Plants
130056,cirsvina,Cirsium vinaceum,Sacramento Mountains Thistle,Flowering Plants
146618,cirsvirg,Cirsium virginense,Virgin Thistle,Flowering Plants
140269,cirswrig,Cirsium wrightii,Wright's Marsh Thistle,Flowering Plants
129416,cistpulc,Cistanthe pulchella,Mariposa Pussy-paws,Flowering Plants
128135,cistpygm,Cistanthe pygmaea,Pygmy Pussy-paws,Flowering Plants
127922,claraust,Clarkia australis,Small Southern Clarkia,Flowering Plants
159779,clarfran,Clarkia franciscana,Presidio Clarkia,Flowering Plants
138502,clarimbr,Clarkia imbricata,Vine Hill Clarkia,Flowering Plants
130169,clarjolo,Clarkia jolonensis,Jolon Clarkia,Flowering Plants
157586,clarling,Clarkia lingulata,Merced Clarkia,Flowering Plants
158713,clarmosq,Clarkia mosquinii,Mosquin's Clarkia,Flowering Plants
147200,clarrost,Clarkia rostrata,Beaked Clarkia,Flowering Plants
159320,clarspri,Clarkia springvillensis,Springville Clarkia,Flowering Plants
160003,clemaddi,Clematis addisonii,Addison's Leatherflower,Flowering Plants
148859,clemmore,Clematis morefieldii,Morefield's Leatherflower,Flowering Plants
137478,clemsoci,Clematis socialis,Alabama Leatherflower,Flowering Plants
134546,clemviti,Clematis viticaulis,Millboro Leatherflower,Flowering Plants
161131,cleomult,Cleome multicaulis,Many-stem Spider-flower,Flowering Plants
